Meme,ExpectedQueries,Meaning,Context,Example,AntiPattern,Origin,SafetyLevel,TargetAge,Tone,Category
뉴비,"초보자 가이드, 처음 시작하는 사람 칭호, 뉴비 환영 멘트, 입문자 질문","특정 분야나 게임, 커뮤니티에 막 발을 들인 '신입 초보자'를 뜻함. 영어 Newbie의 음차 표기.","새로운 취미를 시작하거나 게임 서버에 처음 접속했을 때, 기존 구성원들에게 도움을 요청하거나 자신을 낮춰 소개할 때 주로 사용함.","""어제 시작한 뉴비인데, 이 아이템은 어떻게 쓰는 건가요? 고수님들 도와주세요!""",숙련자가 초보자인 척하며 이득을 취하는 '고인물 코스프레' 상황에 쓰면 기만 행위로 간주되어 비판받을 수 있음.,90년대 온라인 게임 커뮤니티에서 'Newbie'를 한국식으로 발음하며 정착됨.,"[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 비하 의도가 전혀 없으며, 신규 진입자를 환영하는 긍정적이고 개방적인 용어임.",[10-30대: 주사용층] / [40-50대: 이해 필요] 신입 사원이나 새로운 취미 모임에서 자신을 소개할 때 적절함.,"겸손, 기대, 환영","커뮤니티, 게임, 사회생활"
덕통사고,"입덕 계기 공유, 연예인에게 반하는 순간, 갑자기 팬이 됨, 입덕 부정기 탈출","교통사고처럼 갑작스럽고 강렬하게 어떤 대상(연예인, 캐릭터 등)의 팬이 되어버린 상황을 비유함.",전혀 관심 없던 아이돌의 무대 영상을 우연히 보다가 숨이 멎을 듯한 매력을 느껴 순식간에 열성 팬으로 변했을 때 사용함.,"""아무 생각 없이 채널 돌리다가 그 배우 눈빛에 덕통사고 당해서 어제부터 밤새 필모 훑는 중이야.""","실제 교통사고 피해자 앞에서 유머로 사용하면 심각한 무례가 됨. 또한, 서서히 좋아진 경우에는 '덕통사고'라는 표현이 어울리지 않음.",덕후(오타쿠)'와 '교통사고'의 합성어. 팬덤 문화가 성숙해진 2010년대 초반 커뮤니티에서 파생됨.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 개인의 취향과 열정을 나타내는 표현으로 매우 건전함.,[10-30대: 주사용층] / [40-50대: 공감 가능] 열정적인 취미 생활을 설명할 때 젊은 세대의 공감을 사기 좋음.,"경이로움, 설렘, 충격","팬덤 문화, 취미, 감정"
득템,"가성비 쇼핑 성공, 레어 아이템 획득, 중고거래 꿀매물, 사은품 당첨","이득'과 '아이템'의 합성어로, 운 좋게 좋은 물건을 얻거나 기대 이상의 가성비로 구매했을 때 사용함.","중고 장터에서 상태 좋은 명품을 헐값에 샀을 때, 혹은 게임 중 확률이 낮은 희귀 장비를 획득하여 기분이 매우 좋을 때 사용함.","""동네 빈티지 샵 갔다가 상태 완벽한 재킷을 단돈 5천 원에 득템했어! 오늘 운 대박이야.""",남의 물건을 훔치거나 정당하지 못한 경로로 취득한 경우에는 절대 사용하지 않음. 단순히 비싼 물건을 정가에 샀을 때도 쓰지 않음.,초기 RPG 게임에서 사냥을 통해 좋은 장비를 얻는 행위에서 유래되어 일상 쇼핑 용어로 확장됨.,[낀세대: Safe] / [외약인: Safe] / [복학생: Safe] 일상적인 성취감을 나타내며 부정적인 뉘앙스가 전혀 없음.,[전 연령대: 권장] 세대 불문하고 기분 좋은 쇼핑 경험을 공유할 때 가장 널리 쓰이는 단어임.,"성취감, 환희, 만족","쇼핑, 게임, 생활경제"
딸바보,"자식 사랑 표현, 아빠의 헌신, 딸 아끼는 부모, 딸자랑 멘트","자신의 딸을 지극히 아끼고 사랑하여, 딸 앞에서는 바보가 될 정도로 헌신적인 아빠를 일컫는 말.","아빠가 딸의 사소한 애교에 감동하여 어쩔 줄 몰라 하거나, 휴대폰 배경화면이 온통 딸 사진인 동료를 흐뭇하게 바라볼 때 사용함.","""우리 팀장님은 평소엔 무서운데 딸 전화만 오면 목소리가 꿀 떨어져. 진짜 역대급 딸바보셔.""",자녀의 잘못된 행동을 무조건 오냐오냐하며 훈육하지 않는 '방임형 부모'를 옹호하는 맥락에서 쓰면 부정적 의미로 변질됨.,2000년대 후반 '슈퍼맨이 돌아왔다' 같은 육아 예능의 인기와 함께 대중화된 단어.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 가정적인 이미지를 전달하며 따뜻한 분위기를 형성함.,[30-50대: 주사용층] / [10-20대: 관찰자 시점] 직장 내에서 가족적인 대화 주제로 부드럽게 접근하기 좋음.,"애정, 부드러움, 헌신","가족, 인간관계, 육아"
발컨,"실력 미달 자책, 게임 조작 실수, 서투른 솜씨 비유, 곰손 인증","발로 컨트롤한다'의 줄임말로, 손이 아닌 발로 조작하는 것처럼 실력이 형편없거나 서투른 상태를 의미함.","게임 중 결정적인 실수를 해서 팀에 피해를 줬을 때 스스로를 자책하거나, 기계 조작이 너무 서툴러서 답답할 때 유머러스하게 표현함.","""아, 이번 판은 내 발컨 때문에 망했네. 내 손가락이 왜 마음대로 안 움직이지?""","타인의 진지한 노력을 비하하기 위해 ""너 진짜 발컨이다""라고 말하는 것은 상대의 기분을 상하게 하는 공격적인 언행이 됨.",스타크래프트 등 정교한 조작이 필요한 초기 PC 게임 문화에서 실력이 낮은 유저를 지칭하며 탄생.,[낀세대: Caution] / [외국인: Safe] / [복학생: Safe] 스스로를 낮추는 용도로는 안전하나 남에게 쓰면 비하가 될 수 있음.,[20-40대: 주사용층] / [50대 이상: 설명 필요] 주로 온라인 협동 작업이나 게임 상황에서 공감대를 형성함.,"자학, 유머, 아쉬움","게임, 조작 실력, 자책"
어쩔티비,"상대방 말 차단, 유치한 도발 대응, 말싸움 필살기, 무시 전략","""어쩌라고 가서 티비나 봐""의 줄임말. 상대방의 잔소리나 훈계를 듣기 싫을 때 유치하게 응수하며 대화를 단절시키는 표현.","친구가 사소한 지적을 할 때 더 이상 대꾸하기 싫어 장난스럽게 말을 끊거나, 킹받게(열받게) 하고 싶을 때 사용함.","""너 오늘 옷이 좀 이상하다?"" -> ""어쩔티비? 저쩔냉장고~ 어쩔 다이슨 에어랩~""","[주의] 상사, 부모님, 교수님 등 윗사람에게 사용 시 무례함의 극치로 받아들여져 심각한 징계를 받을 수 있음.",초등학생들 사이에서 유행하기 시작하여 예능 'SNL 코리아'를 통해 MZ 세대 전반으로 확산됨.,[낀세대: Danger] / [외국인: Danger] / [복학생: Danger] 상대방을 자극하는 도발용 단어이므로 공식적인 자리에선 절대 금기임.,[10대: 주사용층] / [20-30대: 희화화 용도] 성인이 진지하게 사용하면 수준이 낮아 보일 수 있으니 유머로만 소비할 것.,"도발, 무시, 얄미움","신조어, 도발, 유행어"
역대급,"최고 기록 경신, 전무후무한 사건, 강력한 강조, 인생 최고의 순간",역사상 유례가 없을 정도로 가장 뛰어난 수준(최고)이나 혹은 가장 최악의 상황을 강조할 때 쓰는 표현.,"먹어본 음식 중 가장 맛있는 것을 발견했거나, 직장 생활 중 가장 황당한 빌런을 만났을 때처럼 극단적인 상황을 묘사할 때 사용함.","""이번 여름 휴가 때 갔던 바다는 내 인생 통틀어 정말 역대급으로 아름다웠어.""",너무 사소하거나 평범한 일에 '역대급'이라는 단어를 남발하면 표현의 진정성이 떨어지고 과장하는 사람으로 보일 수 있음.,스포츠 뉴스나 기록 분석 기사에서 '역대 최고 급'이라는 용어를 쓰던 것이 구어체로 정착됨.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 감탄사나 강조어로서 매우 효과적이며 대중적인 표현임.,[전 연령대: 권장] 자신의 경험을 생동감 있게 전달하고 싶을 때 누구나 사용 가능한 만능 강조어.,"감탄, 충격, 경외","강조 표현, 리뷰, 일상"
웃프다,"아이러니한 슬픔, 해학적 상황, 웃음과 눈물 사이, 안쓰러운 유머","웃긴데 슬프다는 뜻. 상황 자체는 비극적이거나 안타까운 상황이지만, 그 모습이 묘하게 웃음을 유발할 때 사용하는 해학적 표현.","월급날인데 통장을 스쳐 지나가는 월급을 보며 허탈하게 웃거나, 다이어트 중인데 너무 배가 고파서 잠결에 꿈에서 치킨을 뜯는 내 모습을 설명할 때.","""어제 짝사랑하던 애한테 고백했는데, 걔가 내 이름을 틀리게 부르면서 거절하더라. 진짜 웃프지 않니?""","타인이 겪는 진지하고 심각한 사고나 질병, 사별 등에 대해 '웃프다'고 하면 공감 능력이 부족한 비정한 사람으로 낙인찍힘.",웹툰이나 예능(무한도전 등)에서 슬픈 상황을 웃음으로 승화하는 자막으로 사용하며 널리 퍼짐.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 슬픔을 유머로 승화시키는 성숙한 태도를 보여줄 때 유용함.,[전 연령대: 권장] 삶의 고단함을 가볍게 털어내고 싶을 때 모든 세대가 공감할 수 있는 단어.,"해학, 공감, 안쓰러움","감정, 일상, 아이러니"
럭키비키,"원영적 사고 실천, 초긍정 마인드셋, 오히려 좋아, 불행 중 다행, 장원영 말투, 초긍정, 행운, 럭키비키 뜻, 원영적 사고와 차이점",행운(Lucky)과 아이돌 장원영의 영어 이름(Vicky)의 합성어. 어떤 부정적인 상황도 긍정적으로 해석하는 사고방식을 의미함.,"빵집에 갔는데 앞 사람이 마지막 빵을 사 갔을 때, ""운 좋게 갓 구운 새 빵을 먹을 수 있게 됐잖아! 완전 럭키비키잖아!""라고 말하는 상황.","""비가 와서 신발이 다 젖었네? 덕분에 시원하게 발 씻은 셈 치지 뭐! 역시 난 럭키비키야.""","상대방이 진심으로 화가 나 있거나 위로가 필요한 상황에서 억지로 ""럭키비키잖아""라고 하면 상황 파악 못 하는 눈치 없는 사람으로 보임.",아이돌 장원영이 팬들과의 대화에서 보여준 남다른 긍정적 사고방식(원영적 사고)이 커뮤니티에서 밈이 됨.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 분위기를 밝게 만들고 멘탈 관리에 도움을 주는 아주 건강한 밈임.,[10-30대: 주사용층] / [40대 이상: 트렌디함] 부정적인 회의 분위기를 반전시킬 때 위트 있게 사용하면 센스 있다는 소리를 들음.,"희망, 긍정, 활기","마인드셋, 유행어, 심리"
이븐하게,"고르게 익힘, 균형 잡힌 일 처리, 흑백요리사 패러디, 안성재 심사평","영어 'Even'의 뜻 그대로, 음식이 겉과 속이 고르게(Even) 익은 상태를 뜻함. 최근에는 모든 일이 균형 있게 잘 처리된 상태를 비유함.","고기를 구웠을 때 타지 않고 속까지 완벽하게 익었는지 확인할 때, 혹은 프로젝트의 모든 단계가 누락 없이 고르게 진행되었을 때 사용함.","""이번 기획안은 데이터와 디자인의 조화가 아주 이븐하게 잘 갖춰졌네요. 채소의 익힘 정도도 훌륭합니다."", ""최고의 전문가가 아주 차갑고 냉철하게 쓴 단어라, 오히려 그 완벽주의가 멋있어 보여서 유행함.""","진지하게 조언을 구하는 요리사나 전문가 앞에서 유행어처럼 남발하면 장난스러워 보여 전문성을 의심받을 수 있음. ""그 셰프의 깐깐한 전문성이 멋있어서 사람들이 따라 하는 거예요""",2024년 넷플릭스 '흑백요리사' 심사위원 안성재 셰프가 고기나 채소의 익힘 정도를 평가하며 반복 사용한 단어.,[낀세대: Safe] / [외국인: Safe] / [복학생: Safe] 세련되고 지적인 느낌을 주면서도 트렌드를 아는 사람임을 보여줌.,[10-40대: 방송 시청층] / [50대 이상: 설명 권장] 최근 가장 핫한 밈이므로 사내 회식 자리나 미팅에서 가벼운 농담으로 쓰기 좋음.,"냉철함, 전문적, 위트","방송 밈, 요리, 완벽주의"
